,Code,Category
0,NEWID,Stats
1,AGE_REF,Stats
2,AGE2,Stats
3,BATHRMQ,Stats
4,BEDROOMQ,Stats
5,BUILDING,Type_home
6,EARNCOMP,Stats
7,FAM_SIZE,Stats
8,FINCBTAX,Income
9,FINDRETX,Stats
10,FSALARYX,Income
11,HLFBATHQ,Stats
12,INC_RANK,Stats
13,NO_EARNR,Stats
14,NUM_AUTO,Stats
15,OCCUCOD1,Stats
16,OCCUCOD2,Stats
17,PERSLT18,Stats
18,PERSOT64,Stats
19,RACE2,Stats
20,REF_RACE,Stats
21,REGION,Stats
22,SAVACCTX,Stats
23,SECESTX,Stats
24,SEX_REF,Stats
25,SEX2,Stats
26,VEHQ,Stats
27,TOTEXPPQ,Stats
28,TOTEXPCQ,Stats
29,FOODPQ,Neccessities
30,FOODCQ,Neccessities
31,FDHOMEPQ,Neccessities
32,FDHOMECQ,Neccessities
33,FDAWAYPQ,Neccessities
34,FDAWAYCQ,Neccessities
35,HOUSPQ,Housing
36,HOUSCQ,Housing
37,TELEPHPQ,Misc
38,TELEPHCQ,Misc
39,APPARPQ,Neccessities
40,APPARCQ,Neccessities
41,TRANSPQ,Transportation
42,TRANSCQ,Transportation
43,GASMOPQ,Transportation
44,GASMOCQ,Transportation
45,PUBTRAPQ,Transportation
46,PUBTRACQ,Transportation
47,HEALTHPQ,Medical
48,HEALTHCQ,Medical
49,ENTERTPQ,Entertainment
50,ENTERTCQ,Entertainment
51,PETTOYPQ,Entertainment
52,PETTOYCQ,Entertainment
53,RETPENPQ,Income
54,RETPENCQ,Income
55,SWIMPOOL,Stats
56,WINDOWAC,housing
57,WIND_WAC,housing
58,CNTRALAC,housing
59,CNTR_LAC,housing
60,INCLASS,Stats
61,STATE,Stats
62,VEHQL,Stats
63,TTOTALC,Entertainment
64,POVLEVCY,Stats
65,ESHELTRC,housing
66,ETRANPTP,Transportation
